PROGRAM,PRINCPIAL INVESTIGATOR,INSTITUTE,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,STATION,DEPLOYMENT SHIP,IMEI,REF,SERIAL NUMBER,MODEL,SENSOR_MODEL
Argo Canada ONC,Kohen Bauer,ONC,2026-05-18T03:30:00,43.9016,-151.8176,,SIR WILFRID LAURIER,300534063813860,4902632,AD2700-22CA002,ARVOR_D,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR"
Argo Canada ONC,Kohen Bauer,ONC,2027-08-06,,,,,300534063508930,4902648,AD2700-22CA006,ARVOR_D,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR"
Argo Canada,Blair Greenan,BIO,2026-10-02,42.8759,-61.6261,,JAMES COOK,300125062496540,4902705,10876,APEX,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo Canada,Blair Greenan,BIO,2026-10-02,43.2057,-57.5132,,JAMES COOK,300125062398780,4902706,10877,APEX,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo Canada,Blair Greenan,BIO,2027-02-01,-76,-167.5,,,300125062391790,4902711,10882,APEX,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo Canada,Blair Greenan,BIO,2027-02-01,-76.5,-159,,,300125062494580,4902718,10889,APEX,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-07-01,54.9759,-45.6261,,LOUIS S. ST. LAURENT,300125063310200,4902728,P5389A-25CA003,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-07-01,57.4057,-39.7132,,LOUIS S. ST. LAURENT,300125063315260,4902720,P5389A-25CA005,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-07-01,59.7759,-33.4261,,LOUIS S. ST. LAURENT,300125063414050,4902723,P5389B-25CA005,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-07-01,61.2057,-28.5132,,LOUIS S. ST. LAURENT,300125063413300,4902721,P5389A-25CA006,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
Argo Canada Dalhousie University,Katja Fennel,Dal,2026-07-01,62.6057,-27.7132,,LOUIS S. ST. LAURENT,300125063213730,4902724,P5389B-25CA006,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
