serial_prefix,model,sensor_model
AI2600,ARVOR,GENERIC_TEMP_SALINITY_DEPTH_PROBE
AI3500,ARVOR,GENERIC_TEMP_SALINITY_DEPTH_PROBE
AI2632,ARVOR,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR"
AD2700,ARVOR_D,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR"
P41305,PROVOR_III,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER"
P43205,PROVOR_III,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_pH"
P44168,PROVOR_III,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR"
P53865,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_pH,GENERIC_RADIOMETER"
P53875,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
TWR,APEX,GENERIC_TEMP_SALINITY_DEPTH_PROBE
P5389A,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_RADIOMETER"
P5389B,PROVOR_V,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER,GENERIC_NITRATE_SENSOR,GENERIC_RADIOMETER"
